#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:twin" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:twin" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:twin">
#                <taxonset id="TaxonSet.twin" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:twin" name="distribution" x="@birthRate.t:twin">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@twin" id="treeLikelihood.twin" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:twin">
#            <siteModel id="SiteModel.s:twin" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:twin" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:twin" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:twin" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:twin" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:twin" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:twin" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
0	-7563.457646340035	-7553.047259304053	-10.410387035981923	-7553.047259304053	3.5338720092411458	-10.410387035981923	1.0
1000	-6355.849082507148	-6352.942217161222	-2.9068653459255627	-6352.942217161222	1.0513426624815219	-2.9068653459255627	1.8059904145446204
2000	-6355.0219934843	-6352.365226227584	-2.656767256716221	-6352.365226227584	0.9592946909642973	-2.656767256716221	1.7706378054820129
3000	-6360.0955894733515	-6356.774819556137	-3.3207699172147547	-6356.774819556137	0.9555891728164176	-3.3207699172147547	3.1251856849008033
4000	-6355.274384698926	-6352.408478082347	-2.8659066165792706	-6352.408478082347	1.0518072039684836	-2.8659066165792706	1.2958837615161793
5000	-6357.215325111462	-6354.368140626283	-2.8471844851787953	-6354.368140626283	1.0255847712473638	-2.8471844851787953	2.006962702173877
6000	-6355.747281936497	-6353.4575651283785	-2.2897168081182473	-6353.4575651283785	0.8835481228188086	-2.2897168081182473	1.5442940983348414
7000	-6355.699243682139	-6352.403531328386	-3.295712353753435	-6352.403531328386	1.1069117554650016	-3.295712353753435	1.0429528430792958
8000	-6355.326218541828	-6352.83704597961	-2.489172562217957	-6352.83704597961	0.9823946793277506	-2.489172562217957	1.5101948919873558
9000	-6353.853205523249	-6351.298915943256	-2.5542895799924974	-6351.298915943256	0.9732308135577773	-2.5542895799924974	1.6221951710498006
10000	-6353.851941235138	-6351.429153023718	-2.422788211420506	-6351.429153023718	0.9526049397253422	-2.422788211420506	1.5208844108217365
11000	-6356.043153648712	-6353.632532531363	-2.410621117349373	-6353.632532531363	0.9225557797525592	-2.410621117349373	1.6555507014350086
12000	-6354.642192617903	-6351.868067537356	-2.77412508054681	-6351.868067537356	1.001009722928109	-2.77412508054681	1.3011441130050405
13000	-6358.720486554013	-6354.768109294013	-3.9523772600009464	-6354.768109294013	0.897133574503187	-3.9523772600009464	3.489014415764989
14000	-6355.880089146169	-6353.000477700763	-2.879611445405196	-6353.000477700763	1.0441954943719722	-2.879611445405196	1.8717388700419924
15000	-6354.250404975429	-6351.7919843590835	-2.4584206163455056	-6351.7919843590835	0.9558921687578479	-2.4584206163455056	1.5238813348506721
16000	-6354.139474879678	-6351.736418767629	-2.4030561120486493	-6351.736418767629	0.9452372770930911	-2.4030561120486493	1.9522381623760552
17000	-6355.744686651789	-6351.25464717625	-4.4900394755394055	-6351.25464717625	0.9931387333834543	-4.4900394755394055	3.36778656565283
18000	-6356.783922703522	-6351.737685181541	-5.046237521981192	-6351.737685181541	1.0118442346885024	-5.046237521981192	0.5014815260219677
19000	-6356.045006608633	-6353.482264682034	-2.562741926599255	-6353.482264682034	0.9771642317885653	-2.562741926599255	1.3744019915043102
20000	-6356.86584121321	-6354.641798686638	-2.2240425265714476	-6354.641798686638	0.9230112116374696	-2.2240425265714476	1.6226524772284896
21000	-6354.200504596246	-6351.274625955937	-2.9258786403090933	-6351.274625955937	1.0071839733981858	-2.9258786403090933	2.2620955391130435
